Car_ID,Brand,Model,Model_Ye,Kilometer,Fuel_Type,Transmiss,Owner_Ty,Engine_CC,Max_Pow,Mileage_k,Seats,Condition_Score,Accidents,Price_USD
ID_00034,Lucid,Air,2010,218398,Diesel,Automatic,Third,1600,117,12.1,5,10,0,2000
ID_00035,Seat,Leon,2020,86467,Electric,Automatic,Third,1000,116,11.2,5,8,0,8425
ID_00036,Wuling,Almaz,2014,119258,Petrol,Manual,Second,1600,129,11.0,5,8,0,2000
ID_00037,Land Rover,Discovery,2013,105777,Diesel,Automatic,First,2500,215,18.6,5,10,0,11190
ID_00038,Hyundai,Tucson,2011,24258,Petrol,Manual,Second,1200,129,10.4,5,1,0,2000
ID_00039,Skoda,Kamiq,2015,52548,Electric,Automatic,First,1000,73,12.2,5,6,0,2000
ID_00040,Rivian,R1S,2023,200082,Hybrid,Manual,Third,1200,134,19.9,5,7,0,3106
ID_00041,Hyundai,Accent,2024,210557,Diesel,Manual,Second,2000,178,15.8,5,9,0,7737
ID_00042,Great Wall,Poer,2019,180370,Electric,Manual,First,2000,139,14.6,5,4,0,2000
ID_00043,Seat,Ibiza,2019,145581,Electric,Automatic,First,1600,142,18.5,5,8,0,3668
ID_00044,Mercedes-Benz,GLS,2024,106100,Petrol,Automatic,First,2000,134,11.6,5,4,0,14814
ID_00045,Saturn,Ion,2022,111609,Electric,Automatic,First,1200,116,21.8,5,5,1,3640
ID_00046,Great Wall,Poer,2014,118092,Electric,Automatic,Second,1200,76,19.5,5,10,0,2000
ID_00047,Vauxhall,Corsa,2024,199907,Hybrid,Automatic,First,2000,189,10.0,5,3,0,2605
ID_00048,Kia,Carnival,2022,56254,Hybrid,Automatic,Second,1200,97,12.0,5,3,1,3204
ID_00049,Tesla,Model X,2023,67445,Diesel,Automatic,First,3000,235,17.5,7,9,1,21379
ID_00050,Abarth,595,2010,204364,Diesel,Automatic,First,2000,155,20.4,5,1,0,2000
ID_00051,Chevrolet,Silverado,2010,56093,Hybrid,Automatic,Second,1600,104,18.9,5,3,0,2000
ID_00052,Hummer,EV,2012,164584,Petrol,Automatic,Second,1600,155,11.6,5,7,0,2000
ID_00053,BMW,Serie 5,2017,12429,Hybrid,Automatic,First,2000,159,17.6,5,2,0,3681
ID_00054,Abarth,695,2014,199934,Petrol,Automatic,First,2000,151,13.6,5,4,0,2000
ID_00055,Suzuki,S-Cross,2018,14977,Hybrid,Manual,Second,1600,153,16.9,5,7,0,8701
ID_00056,Ram,2500,2011,92181,Petrol,Automatic,Fourth & Above,2000,148,12.2,5,5,0,2000
ID_00057,Porsche,Panamera,2015,71306,Hybrid,Manual,Second,4000,317,18.8,7,9,0,11062
ID_00058,Foton,Sauvana,2014,173340,Electric,Automatic,First,2000,173,10.2,5,5,0,2000
ID_00059,Hummer,H1,2022,84895,Diesel,Manual,Second,1200,120,13.0,5,6,0,6277
ID_00060,MG,HS,2014,188148,Petrol,Automatic,First,2000,158,15.9,5,3,1,2000
ID_00061,Alfa Romeo,Tonale,2018,129566,Hybrid,Manual,First,1200,93,21.1,5,10,0,17205
ID_00062,Lucid,Air,2023,50161,Electric,Automatic,First,2000,144,21.3,5,1,0,2000
ID_00063,Vauxhall,Astra,2013,56725,Diesel,Manual,First,2000,181,17.3,5,10,0,2883
ID_00064,Renault,Arkana,2019,852,Petrol,Manual,First,2000,178,19.9,5,2,0,2083
ID_00065,Ford,EcoSport,2021,47218,Petrol,Manual,First,1000,86,11.8,5,3,0,4225
ID_00066,Wuling,Hongguang Mini EV,2019,128650,Electric,Automatic,First,2000,130,18.3,5,2,0,2000
ID_00067,Opel,Mokka,2015,72090,Electric,Automatic,Second,2000,160,13.8,5,7,0,2000
ID_00068,SsangYong,Korando,2015,50292,Electric,Automatic,Second,1200,112,16.9,5,2,1,2000
ID_00069,Lucid,Air,2020,217677,Hybrid,Automatic,First,2000,185,17.8,5,6,0,2000
ID_00070,Alfa Romeo,Stelvio,2024,201373,Electric,Manual,First,1200,99,20.0,5,8,0,18425
ID_00071,Saturn,Ion,2021,172838,Electric,Manual,First,1600,107,20.2,5,5,0,2000
ID_00072,DS,DS7,2022,41891,Petrol,Automatic,First,1000,110,10.7,5,3,0,4220
ID_00073,FAW,Bestune T77,2018,161132,Electric,Manual,Third,1600,133,21.6,5,8,0,2000
ID_00074,BAIC,BJ40,2011,176879,Electric,Manual,First,1000,105,17.1,5,6,0,2000
ID_00075,Opel,Grandland,2021,146208,Hybrid,Manual,First,1200,94,18.7,5,2,0,2000
ID_00076,Brilliance,V5,2016,41400,Diesel,Manual,First,1000,72,19.5,5,7,0,2814
ID_00077,Cupra,Leon,2010,111927,Petrol,Manual,Third,2000,141,12.5,5,1,0,2000
ID_00078,SsangYong,Rexton,2024,152710,Hybrid,Automatic,Fourth & Above,1000,99,19.1,5,10,0,16580
ID_00079,Dongfeng,S30,2024,194364,Electric,Automatic,Third,1600,150,21.8,5,6,0,8075
ID_00080,GMC,Acadia,2019,108810,Petrol,Manual,First,1200,89,13.6,5,2,0,2000
ID_00081,XPeng,G3,2010,84519,Electric,Automatic,Fourth & Above,1000,108,14.6,5,6,0,2000
ID_00082,Chevrolet,Tracker,2014,52062,Electric,Automatic,Second,1000,90,15.3,5,5,0,3032
ID_00083,Wuling,Almaz,2020,204657,Hybrid,Automatic,First,1000,104,10.7,5,5,0,2000
ID_00084,Audi,Q7,2024,184376,Hybrid,Automatic,Second,4000,311,12.4,5,8,0,30274
ID_00085,Great Wall,Poer,2023,215404,Electric,Manual,First,2000,154,13.7,5,2,1,2000
ID_00086,Volkswagen,Polo,2020,132897,Diesel,Automatic,Third,1600,121,14.2,5,10,0,3453
ID_00087,JAC,SEI3,2024,120508,Hybrid,Automatic,Second,2000,187,13.3,5,2,0,2898
ID_00088,Lucid,Air,2014,127558,Hybrid,Manual,First,1200,132,17.3,5,2,0,2000
ID_00089,Mazda,CX-30,2014,7666,Hybrid,Automatic,First,1200,88,13.8,5,5,1,2907
ID_00090,GMC,Terrain,2013,23449,Hybrid,Manual,First,1000,66,18.4,5,5,0,3175
ID_00091,Chevrolet,Blazer,2020,4035,Petrol,Manual,First,1600,157,12.2,5,4,0,3781
ID_00092,Volvo,XC60,2015,104857,Petrol,Manual,Second,1600,155,19.4,5,4,0,4751
ID_00093,Ford,Maverick,2013,219127,Electric,Manual,First,1200,134,18.7,5,9,0,2000
ID_00094,Suzuki,Vitara,2012,167788,Electric,Automatic,Second,2000,131,19.5,5,3,0,2000
ID_00095,Jeep,Compass,2020,84973,Diesel,Automatic,First,4000,287,19.5,5,6,0,18000
ID_00096,Haval,H9,2019,180958,Petrol,Automatic,Third,2000,182,19.7,5,9,0,2000
ID_00097,Changan,UNI-K,2018,96801,Hybrid,Manual,First,2000,144,20.0,5,8,0,2101
ID_00098,Honda,Ridgeline,2021,147783,Diesel,Automatic,Second,1000,75,18.3,5,2,0,2000
ID_00099,Alfa Romeo,4C,2021,121331,Petrol,Manual,First,1200,90,12.5,5,5,1,6386
ID_00100,Changan,UNI-K,2013,96133,Diesel,Automatic,Third,1000,81,19.7,5,2,0,2000
ID_00101,Nissan,Altima,2016,506,Petrol,Automatic,Second,1200,89,17.4,5,8,0,8500
ID_00102,Haval,H2,2020,41977,Hybrid,Manual,First,2000,173,10.9,5,5,0,5409
ID_00103,Subaru,BRZ,2021,42679,Electric,Automatic,Second,2000,159,20.9,5,6,1,3280
ID_00104,Polestar,Polestar 2,2021,173420,Diesel,Automatic,Fourth & Above,1600,138,15.4,5,8,0,3671
ID_00105,Saturn,Sky,2014,195740,Diesel,Manual,Second,2000,189,12.5,5,5,0,2000
ID_00106,Honda,Fit,2017,73090,Hybrid,Automatic,First,2000,188,20.9,5,2,0,2000
ID_00107,Polestar,Polestar 2,2012,39050,Diesel,Automatic,Third,2000,189,21.4,5,7,0,2436
ID_00108,Audi,A3,2021,200053,Electric,Automatic,First,3000,240,20.1,2,9,0,13342
ID_00109,Jeep,Renegade,2018,12671,Hybrid,Manual,Second,1600,132,20.7,5,2,0,5115
ID_00110,BAIC,X25,2023,26750,Hybrid,Automatic,First,1000,93,16.5,5,6,0,8501
ID_00111,Audi,e-tron,2024,116557,Diesel,Manual,Third,1600,119,19.4,5,8,0,37137
ID_00112,DS,DS7,2011,166199,Petrol,Manual,First,1600,152,17.6,5,3,1,2000
ID_00113,Polestar,Polestar 3,2019,191200,Diesel,Automatic,First,1000,77,11.7,5,2,0,2000
ID_00114,Ford,Edge,2024,95265,Petrol,Automatic,Third,1000,99,16.4,5,7,0,10011
ID_00115,Chevrolet,Spark,2019,134635,Hybrid,Automatic,Second,1600,138,21.5,5,1,0,2000
ID_00116,Ford,Bronco,2022,72271,Diesel,Automatic,Second,1600,113,20.0,5,1,0,2000
ID_00117,Cadillac,CTS,2016,51704,Electric,Manual,Second,1200,81,17.6,5,9,0,13865
ID_00118,XPeng,G9,2020,40201,Petrol,Automatic,First,1600,140,10.3,5,9,0,11565
ID_00119,SsangYong,Tivoli,2021,114254,Hybrid,Manual,Second,1600,127,16.6,5,8,0,5944
ID_00120,Renault,Koleos,2016,170963,Petrol,Automatic,First,1200,109,19.4,5,7,1,2000
ID_00121,Polestar,Polestar 2,2022,22608,Diesel,Manual,First,1600,145,20.2,5,2,0,2670
ID_00122,Jeep,Gladiator,2010,216709,Hybrid,Manual,First,1600,146,13.7,5,1,0,2000
ID_00123,XPeng,G3,2018,183872,Hybrid,Manual,First,1600,139,11.9,5,10,0,2000
ID_00124,Haval,H2,2013,182072,Diesel,Manual,First,1000,119,16.6,5,3,0,2000
ID_00125,Saturn,Sky,2018,113403,Diesel,Manual,Third,1200,76,17.0,5,4,0,2000
ID_00126,Lada,Niva,2024,84344,Hybrid,Automatic,First,2000,150,15.6,5,5,0,5795
ID_00127,Polestar,Polestar 2,2023,37162,Electric,Automatic,Second,1200,126,15.6,5,10,0,15189
ID_00128,Tesla,Cybertruck,2021,20064,Petrol,Manual,First,2000,189,19.6,5,6,0,16329
ID_00129,Volvo,S60,2014,24497,Diesel,Automatic,First,4000,277,16.1,2,9,0,9433
ID_00130,Volvo,XC60,2019,32310,Diesel,Automatic,First,1200,129,15.7,5,10,0,23964
ID_00131,Ram,3500,2018,64793,Electric,Automatic,First,2000,138,17.3,5,7,0,3281
ID_00132,Vauxhall,Astra,2017,201183,Hybrid,Automatic,First,1000,78,20.7,5,9,0,2000
ID_00133,Renault,Arkana,2015,87902,Diesel,Automatic,Second,1200,74,16.2,5,7,0,2000
ID_00134,Tesla,Model 3,2013,164730,Petrol,Automatic,First,4000,271,19.7,5,7,0,5619
ID_00135,Skoda,Octavia,2019,193603,Hybrid,Automatic,Second,1000,75,17.5,5,3,0,2000
ID_00136,Skoda,Octavia,2024,143784,Hybrid,Manual,Third,1600,151,12.6,5,5,1,5356
ID_00137,Cadillac,Escalade,2014,76855,Electric,Manual,Second,1200,126,20.4,5,2,0,2712
ID_00138,Opel,Corsa,2010,167035,Hybrid,Manual,First,1600,133,19.9,5,7,0,2000
ID_00139,XPeng,G3,2012,202678,Hybrid,Manual,First,1000,67,18.8,5,5,0,2000
ID_00140,Vauxhall,Astra,2020,153065,Diesel,Automatic,Second,1600,144,21.6,5,9,0,5823
ID_00141,Nissan,Rogue,2017,90460,Hybrid,Manual,First,1600,159,11.3,5,4,0,2000
ID_00142,Wuling,Almaz,2017,218654,Petrol,Manual,Second,1000,120,21.8,5,10,0,2000
ID_00143,Geely,Okavango,2016,200763,Hybrid,Manual,First,1000,103,14.3,5,4,0,2000
ID_00144,Porsche,911,2023,60900,Diesel,Automatic,First,2500,166,15.8,5,6,0,26155
ID_00145,Great Wall,Wingle 5,2013,153966,Diesel,Manual,Second,1200,117,18.1,5,8,0,2000
ID_00146,Land Rover,Defender,2011,219992,Diesel,Automatic,Second,2000,132,12.3,5,6,0,2000
ID_00147,BMW,M4,2020,103128,Hybrid,Manual,First,3000,255,20.0,2,10,0,17813
ID_00148,Foton,Tunland,2018,188657,Diesel,Automatic,First,1600,106,20.1,5,8,1,2000
ID_00149,Polestar,Polestar 3,2014,142675,Hybrid,Manual,Third,1000,80,20.4,5,5,0,2000
ID_00150,Foton,Sauvana,2020,166505,Diesel,Manual,First,1000,120,10.2,5,3,0,2000
ID_00151,Ora,Black Cat,2018,177772,Diesel,Automatic,First,1600,148,18.2,5,7,0,2229
ID_00152,MG,Marvel R,2019,45242,Diesel,Manual,First,1200,120,21.2,5,5,0,3208
ID_00153,Jeep,Grand Cherokee,2016,25483,Diesel,Manual,Second,2000,169,16.3,5,1,0,2000
ID_00154,Mercedes-Benz,EQB,2014,145549,Hybrid,Manual,Third,4000,298,18.3,2,6,0,5060
ID_00155,Peugeot,308,2016,122599,Petrol,Manual,Second,1000,114,15.0,5,10,1,2000
ID_00156,Saturn,Sky,2016,209679,Hybrid,Manual,First,1000,73,11.2,5,9,0,2000
ID_00157,Dongfeng,S30,2010,207504,Diesel,Automatic,First,1600,114,20.7,5,8,0,2000
ID_00158,NIO,ET5,2022,143234,Hybrid,Manual,First,1000,68,17.8,5,6,0,4155
ID_00159,Mazda,CX-9,2021,155782,Petrol,Manual,Third,1600,122,19.3,5,4,0,3455
ID_00160,Great Wall,Wingle 5,2022,202893,Petrol,Automatic,Third,1600,122,15.4,5,2,0,2000
ID_00161,Ora,Black Cat,2018,147905,Electric,Automatic,Third,2000,171,15.4,5,4,0,2000
ID_00162,SsangYong,Rexton,2019,91271,Hybrid,Manual,First,2000,145,15.5,5,6,0,4680
ID_00163,Brilliance,V3,2012,32102,Hybrid,Automatic,First,1000,65,17.0,5,5,1,2000
ID_00164,Kia,Seltos,2023,44156,Diesel,Manual,First,2000,143,11.9,5,8,0,14269
ID_00165,Alfa Romeo,Tonale,2011,160716,Electric,Automatic,Second,1200,94,11.2,5,4,0,2000
ID_00166,Lada,Granta,2022,198724,Electric,Automatic,First,1600,134,17.5,5,4,0,2438
ID_00167,Great Wall,Poer,2015,7251,Hybrid,Automatic,First,1200,107,18.7,5,3,1,2000
ID_00168,Infiniti,Q60,2010,63782,Electric,Manual,Second,1600,161,15.0,5,7,0,4339
ID_00169,Ram,ProMaster,2022,188032,Petrol,Automatic,First,1600,126,16.6,5,6,0,3135
ID_00170,Lucid,Air,2024,106956,Hybrid,Manual,Second,1600,115,18.8,5,1,0,2000
ID_00171,Polestar,Polestar 2,2016,197320,Electric,Manual,First,2000,184,18.2,5,10,0,2000
ID_00172,Porsche,Taycan,2019,95214,Electric,Automatic,Third,3000,241,12.3,5,9,0,18253
ID_00173,Haval,H6,2013,189424,Electric,Automatic,First,1200,123,10.7,5,9,0,2000
ID_00174,Volkswagen,Taos,2022,125377,Diesel,Automatic,First,2000,151,19.5,5,7,0,3991
ID_00175,Kia,EV6,2016,206210,Hybrid,Manual,First,1000,113,19.2,5,3,0,2000
ID_00176,Mitsubishi,Outlander,2018,7656,Diesel,Manual,First,2000,133,16.5,5,7,0,8314
ID_00177,Wuling,Hongguang Mini EV,2015,156238,Diesel,Automatic,First,1000,118,12.7,5,4,0,2000
ID_00178,Seat,Ibiza,2012,23084,Petrol,Automatic,First,2000,163,11.6,5,9,0,5289
ID_00179,Mitsubishi,Lancer,2020,6432,Electric,Automatic,First,2000,188,12.0,5,2,0,2000
ID_00180,Subaru,XV,2017,8788,Hybrid,Automatic,First,1000,63,15.9,5,8,0,6229
ID_00181,Great Wall,Wingle 5,2014,128834,Petrol,Automatic,First,2000,146,14.9,5,10,0,2000
ID_00182,Abarth,595,2010,43710,Diesel,Automatic,First,1000,69,18.0,5,7,0,2333
ID_00183,Tesla,Model S,2013,127114,Petrol,Automatic,First,3000,206,13.0,7,8,0,8204
ID_00184,Abarth,595,2019,187746,Diesel,Manual,Third,1600,162,11.6,5,4,1,2000
ID_00185,Volvo,XC60,2024,196302,Diesel,Automatic,First,3000,235,18.9,5,1,0,3945
ID_00186,Lincoln,Navigator,2015,93484,Diesel,Manual,First,3000,201,12.8,7,7,0,9105
ID_00187,Land Rover,Discovery,2019,188970,Diesel,Automatic,First,1600,115,19.9,5,7,0,8286
ID_00188,Changan,CS35,2021,142563,Petrol,Manual,First,2000,188,12.9,5,1,0,2000
ID_00189,Opel,Mokka,2011,210340,Petrol,Automatic,First,1000,99,19.0,5,5,0,2000
ID_00190,Honda,Passport,2011,218463,Hybrid,Automatic,Second,1200,117,12.1,5,10,0,2000
ID_00191,Geely,Emgrand,2013,66416,Petrol,Manual,First,1600,115,13.9,5,7,0,2619
ID_00192,Zotye,SR9,2014,40186,Diesel,Automatic,First,1200,76,13.1,5,7,0,4391
ID_00193,Ora,Good Cat,2013,96508,Diesel,Automatic,Second,2000,153,20.8,5,3,0,2000
ID_00194,Lincoln,Aviator,2024,55437,Electric,Automatic,First,1600,148,20.5,5,5,0,15863
ID_00195,Brilliance,V3,2016,107471,Diesel,Automatic,First,1000,111,16.2,5,7,1,2129
ID_00196,Dodge,Charger,2018,178022,Hybrid,Manual,Second,2000,152,20.4,5,3,0,2000
ID_00197,Genesis,G90,2023,119224,Hybrid,Manual,First,2000,170,17.5,5,4,0,12395
ID_00198,Cadillac,XT6,2011,144820,Diesel,Automatic,First,2000,183,20.9,5,8,0,2000
ID_00199,Renault,Captur,2019,138606,Electric,Manual,First,1000,120,14.4,5,3,0,2280
ID_00200,Ram,1500,2024,115145,Diesel,Automatic,First,1200,98,16.6,5,5,1,3787
ID_00201,BYD,Yuan Plus,2013,196194,Petrol,Manual,First,2000,165,19.3,5,7,0,2000
ID_00202,Honda,Accord,2010,97102,Hybrid,Manual,First,1200,90,12.5,5,1,0,2000
ID_00203,Ram,3500,2019,79915,Petrol,Manual,Second,1000,103,19.0,5,3,0,2585
ID_00204,Great Wall,Poer,2020,129541,Hybrid,Manual,First,1000,68,12.1,5,7,0,6456
ID_00205,MG,MG5,2017,141566,Petrol,Automatic,First,1000,119,12.0,5,8,0,2000
ID_00206,Porsche,Cayenne,2014,143741,Petrol,Automatic,First,2500,223,16.4,5,9,0,4802
ID_00207,BAIC,X25,2011,100089,Diesel,Automatic,First,1000,60,17.6,5,4,0,2000
ID_00208,Wuling,Almaz,2016,139944,Diesel,Manual,Third,2000,161,14.8,5,1,0,2000
ID_00209,GMC,Acadia,2024,190620,Petrol,Manual,Second,1000,118,10.4,5,2,0,2000
ID_00210,Ford,Maverick,2024,37029,Diesel,Automatic,First,2000,166,15.6,5,8,1,8305
ID_00211,Subaru,Ascent,2011,144559,Hybrid,Manual,First,1600,139,17.2,5,9,0,2000
ID_00212,BMW,M4,2013,47296,Diesel,Automatic,Second,2000,185,11.8,5,1,1,2000
ID_00213,Zotye,T600,2023,186917,Diesel,Manual,First,1000,100,21.4,5,7,0,6553
ID_00214,Tesla,Cybertruck,2017,104429,Petrol,Manual,First,2500,199,10.0,5,7,0,13870
ID_00215,Changan,CS35,2010,68293,Diesel,Manual,Second,1000,79,16.5,5,9,0,2000
ID_00216,FAW,Bestune T77,2018,166551,Petrol,Manual,Second,1200,106,10.6,5,1,0,2000
ID_00217,XPeng,G3,2014,187591,Diesel,Manual,First,1200,107,11.2,5,8,0,2000
ID_00218,Polestar,Polestar 2,2012,104093,Diesel,Automatic,Second,1600,162,14.5,5,2,0,2000
ID_00219,Acura,MDX,2013,194757,Diesel,Manual,First,3000,239,10.5,2,5,0,2000
ID_00220,Jeep,Wrangler,2022,78935,Petrol,Manual,First,4000,282,18.0,7,4,0,8701
ID_00221,Geely,GX3,2016,158363,Electric,Automatic,First,1000,95,13.0,5,5,1,2000
ID_00222,Geely,Coolray,2017,80386,Petrol,Manual,First,1600,131,20.7,5,8,0,3168
ID_00223,Alfa Romeo,4C,2010,114333,Hybrid,Manual,First,1200,100,10.1,5,7,0,4561
ID_00224,Volvo,XC90,2017,110984,Electric,Manual,Second,1600,133,17.9,5,8,0,13941
ID_00225,DS,DS3,2020,191317,Diesel,Automatic,First,2000,144,12.3,5,10,0,6453
ID_00226,Cadillac,ATS,2012,63282,Electric,Manual,First,2500,201,15.1,5,2,0,2000
ID_00227,Acura,TLX,2016,43783,Petrol,Manual,First,1200,97,11.1,5,7,0,12205
ID_00228,Vauxhall,Astra,2024,82470,Hybrid,Manual,Second,1000,97,11.2,5,2,0,2000
ID_00229,Honda,HR-V,2024,6080,Electric,Manual,Third,1200,129,15.9,5,5,1,6416
ID_00230,Jeep,Wrangler,2021,67432,Electric,Automatic,First,1600,109,14.7,5,9,0,28859
ID_00231,JAC,SEI7,2018,82389,Diesel,Manual,Second,1000,111,13.2,5,2,0,2000
ID_00232,Dongfeng,AX7,2022,149563,Hybrid,Manual,Second,1200,76,12.1,5,4,0,2250
ID_00233,Zotye,T600,2013,121304,Diesel,Automatic,Second,1600,135,18.5,5,8,0,2000
ID_00234,Honda,ZRV,2017,184628,Petrol,Automatic,First,2000,161,18.6,5,6,0,2000
ID_00235,Subaru,WRX,2018,142671,Hybrid,Manual,Fourth & Above,1600,114,16.8,5,2,0,2000
ID_00236,Ora,Good Cat,2018,3768,Hybrid,Automatic,First,1000,104,14.1,5,3,0,3170
ID_00237,BMW,M4,2019,126988,Hybrid,Manual,First,2500,180,22.0,5,4,1,5697
ID_00238,Cadillac,CTS,2024,160134,Petrol,Manual,First,3000,221,14.3,7,6,1,15110
ID_00239,BAIC,BJ40,2019,96918,Petrol,Automatic,Second,1600,159,10.5,5,9,0,4025
ID_00240,Lucid,Air,2019,174880,Electric,Manual,Second,2000,160,14.6,5,6,0,2000
ID_00241,Genesis,G80,2022,120394,Diesel,Automatic,First,4000,271,16.5,5,9,0,25046
ID_00242,Opel,Astra,2022,62127,Electric,Manual,Second,1000,78,20.2,5,10,0,12671
ID_00243,Chevrolet,Suburban,2016,53866,Hybrid,Automatic,First,1600,129,11.1,5,7,0,2492
ID_00244,Peugeot,2008,2015,67190,Petrol,Automatic,Second,2000,141,11.6,5,9,0,4016
ID_00245,Dodge,Durango,2018,66255,Petrol,Manual,Fourth & Above,1200,128,13.1,5,10,0,6378
ID_00246,Nissan,Sentra,2022,170302,Electric,Manual,Fourth & Above,1600,112,19.9,5,9,1,4593
ID_00247,Chevrolet,Equinox,2016,158640,Petrol,Automatic,Second,1600,124,10.1,5,5,0,2000
ID_00248,Subaru,Outback,2016,35490,Electric,Automatic,First,1000,85,14.7,5,7,1,2568
ID_00249,Lucid,Air,2022,24003,Petrol,Manual,First,1600,123,19.0,5,4,0,4677
ID_00250,Changan,UNI-K,2019,148262,Hybrid,Manual,First,1200,119,13.9,5,6,0,2716
ID_00251,Haval,Jolion,2019,79174,Petrol,Automatic,First,1600,143,13.8,5,10,0,8765
ID_00252,Abarth,695,2023,20941,Electric,Manual,Third,1000,68,15.0,5,10,1,9271
ID_00253,Mitsubishi,Eclipse Cross,2013,63178,Petrol,Automatic,Third,2000,138,17.8,5,9,0,3436
ID_00254,Skoda,Fabia,2011,16634,Hybrid,Manual,First,2000,138,13.2,5,1,0,2000
ID_00255,Chevrolet,Blazer,2022,104165,Petrol,Automatic,Second,1000,82,11.6,5,9,0,11216
ID_00256,Chevrolet,Tracker,2020,112639,Diesel,Automatic,First,1600,154,14.2,5,5,0,5377
ID_00257,Lincoln,Navigator,2016,159163,Electric,Automatic,First,2000,145,18.6,5,3,0,2284
ID_00258,Foton,Tunland,2019,26416,Petrol,Automatic,First,1600,161,10.9,5,7,0,5573
ID_00259,GMC,Terrain,2010,4414,Petrol,Manual,First,1000,60,10.2,5,5,1,2000
ID_00260,Hyundai,Sonata,2010,219625,Hybrid,Manual,First,1200,108,10.4,5,1,0,2000
ID_00261,Honda,HR-V,2015,111797,Hybrid,Manual,First,1200,90,10.1,5,7,0,2000
ID_00262,Lucid,Air,2021,53364,Hybrid,Manual,Second,2000,149,20.4,5,8,0,7626
ID_00263,Brilliance,V3,2013,79384,Hybrid,Manual,First,1000,115,15.6,5,2,0,2000
ID_00264,Rivian,R1T,2021,102165,Petrol,Automatic,First,1600,111,13.8,5,7,0,8764
ID_00265,Alfa Romeo,Tonale,2017,168184,Diesel,Automatic,First,1600,160,12.8,5,3,0,4554
ID_00266,Haval,H9,2013,79464,Petrol,Manual,First,1200,92,21.6,5,4,0,2000
